id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	26	23	3	26	0	0
2	0	9	11	63	36	6	54	12	2
3	0	50	63	68	5	0	18	13	13
4	0	106	106	118	12	0	12	0	0
7	0	170	183	220	24	4	50	22	13
5	0	119	119	225	64	9	106	33	0
8	0	289	297	306	9	0	17	8	8
6	0	123	162	308	88	14	185	83	39
9	0	374	374	430	56	0	56	0	0
10	0	423	430	489	59	0	66	7	7
11	0	485	489	553	53	11	68	4	4
12	0	608	608	637	29	0	29	0	0
13	0	617	637	691	48	6	74	20	20
14	0	621	639	716	27	8	95	60	18
15	0	703	716	745	29	0	42	13	13
16	0	735	745	894	146	3	159	10	10
18	0	783	898	916	18	0	133	115	115
19	0	790	916	940	9	1	150	140	126
20	0	892	918	944	12	5	52	35	26
17	0	770	894	947	14	4	177	159	124
22	0	986	989	1100	85	2	114	27	3
21	0	967	967	1140	60	13	173	100	0
26	0	1030	1140	1143	3	0	113	110	110
23	0	999	1015	1166	34	9	167	124	16
28	0	1159	1190	1194	4	0	35	31	31
29	0	1164	1194	1215	21	0	51	30	30
25	0	1021	1108	1231	22	4	210	184	87
27	0	1144	1183	1266	25	5	122	92	39
32	0	1244	1312	1325	13	0	81	68	68
31	0	1189	1231	1349	41	1	160	118	42
24	0	1003	1100	1359	62	8	356	286	97
35	0	1376	1415	1448	33	0	72	39	39
36	0	1382	1448	1457	9	0	75	66	66
30	0	1179	1215	1606	80	31	427	316	36
37	0	1407	1492	1672	68	5	265	192	85
33	0	1342	1359	1705	112	24	363	227	17
34	0	1362	1395	1708	61	8	346	277	33
41	0	1653	1712	1714	2	0	61	59	59
39	0	1536	1672	1742	30	3	206	173	136
42	0	1686	1742	1747	5	0	61	56	56
38	0	1516	1622	1773	30	12	257	215	106
40	0	1629	1708	1790	23	5	161	133	79
44	0	1811	1811	1815	4	0	4	0	0
43	0	1779	1790	1824	27	5	45	13	11
45	0	2275	2275	2286	11	0	11	0	0
47	0	2307	2311	2354	14	10	47	23	4
46	0	2289	2289	2373	41	17	84	26	0
48	0	2324	2324	2389	38	1	65	26	0
49	0	2354	2389	2434	16	1	80	63	35
50	0	2355	2399	2445	32	14	90	44	44
0	0	0	0	2445	678	0	2445	1767	0
