id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
4	0	32	58	160	10	4	128	114	26
3	0	29	55	162	5	17	133	111	26
5	0	121	162	212	26	2	91	63	41
1	0	0	0	227	138	3	227	86	0
2	0	20	33	244	65	14	224	145	13
7	0	210	253	266	13	0	56	43	43
8	0	222	266	326	60	0	104	44	44
9	0	237	326	344	18	0	107	89	89
6	0	205	244	348	13	6	143	124	39
11	0	321	356	400	44	0	79	35	35
12	0	327	400	413	13	0	86	73	73
14	0	363	481	541	60	0	178	118	118
13	0	328	413	550	35	10	222	177	85
10	0	273	348	572	69	6	299	224	75
17	0	504	576	580	4	0	76	72	72
15	0	464	550	593	16	3	129	110	86
18	0	572	593	694	34	5	122	83	21
16	0	496	572	745	59	8	249	182	76
21	0	666	745	748	3	0	82	79	79
22	0	747	760	770	10	0	23	13	13
19	0	599	620	773	61	16	174	97	21
23	0	806	818	852	30	3	46	13	12
20	0	605	676	886	98	17	281	166	71
24	0	854	886	887	1	0	33	32	32
25	0	877	887	903	16	0	26	10	10
26	0	909	909	924	12	3	15	0	0
27	0	995	995	999	4	0	4	0	0
28	0	1013	1013	1091	73	5	78	0	0
29	0	1062	1091	1111	20	0	49	29	29
30	0	1098	1111	1164	50	3	66	13	13
31	0	1192	1192	1194	2	0	2	0	0
32	0	1252	1252	1289	33	4	37	0	0
33	0	1278	1289	1290	1	0	12	11	11
34	0	1299	1299	1304	5	0	5	0	0
35	0	1330	1330	1360	28	2	30	0	0
36	0	1443	1443	1468	22	3	25	0	0
37	0	1480	1480	1523	42	1	43	0	0
38	0	1535	1535	1538	3	0	3	0	0
39	0	1641	1641	1668	13	14	27	0	0
40	0	1724	1724	1759	16	4	35	15	0
41	0	1731	1737	1797	26	7	66	33	6
43	0	1757	1759	1804	10	13	47	24	2
42	0	1738	1753	1874	76	11	136	49	15
44	0	1804	1812	1884	32	1	80	47	8
45	0	1894	1894	1995	71	5	101	25	0
46	0	1912	1928	2080	50	5	168	113	16
50	0	2052	2100	2130	30	0	78	48	48
47	0	1924	1930	2203	106	29	279	144	6
48	0	2031	2080	2211	29	12	180	139	49
49	0	2043	2082	2255	66	32	212	114	39
0	0	0	0	2255	534	0	2255	1721	0
