id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	13	13	21	8	0	8	0	0
1	0	0	0	71	54	11	71	6	0
3	0	169	169	292	102	21	123	0	0
5	0	285	292	326	25	5	41	11	7
4	0	252	294	347	30	21	95	44	42
7	0	393	400	420	20	0	27	7	7
6	0	309	347	431	63	11	122	48	38
9	0	470	498	507	9	0	37	28	28
8	0	469	469	514	34	2	45	9	0
10	0	499	507	522	10	2	23	11	8
11	0	543	543	574	25	6	31	0	0
13	0	654	698	742	19	8	88	61	44
14	0	669	714	782	34	10	113	69	45
12	0	640	640	783	90	11	143	42	0
15	0	789	789	790	1	0	1	0	0
16	0	1029	1029	1124	76	14	95	5	0
17	0	1060	1060	1130	17	13	70	40	0
18	0	1089	1124	1134	5	4	45	36	35
20	0	1243	1245	1266	21	0	23	2	2
19	0	1238	1238	1391	104	12	153	37	0
22	0	1292	1311	1394	5	30	102	67	19
23	0	1325	1327	1401	16	3	76	57	2
25	0	1392	1401	1410	9	0	18	9	9
26	0	1406	1410	1416	6	0	10	4	4
21	0	1269	1279	1433	34	15	164	115	10
24	0	1369	1433	1454	21	0	85	64	64
27	0	1518	1518	1524	6	0	6	0	0
29	0	1673	1709	1726	17	0	53	36	36
31	0	1722	1726	1774	33	2	52	17	4
32	0	1737	1750	1777	18	5	40	17	13
33	0	1769	1777	1800	23	0	31	8	8
34	0	1816	1825	1832	7	0	16	9	9
28	0	1654	1654	1879	89	1	225	135	0
30	0	1686	1800	1892	49	7	206	150	114
35	0	1854	1879	1929	39	2	75	34	25
36	0	1962	1962	1974	12	0	12	0	0
40	0	2060	2070	2075	5	0	15	10	10
38	0	2012	2012	2101	48	5	89	36	0
39	0	2023	2038	2149	70	4	126	52	15
37	0	1998	1998	2191	32	30	193	131	0
41	0	2072	2191	2254	48	10	182	124	119
44	0	2233	2238	2261	13	1	28	14	5
42	0	2117	2159	2267	45	22	150	83	42
46	0	2247	2267	2279	12	0	32	20	20
47	0	2281	2293	2298	5	0	17	12	12
43	0	2221	2298	2328	30	0	107	77	77
48	0	2349	2349	2353	4	0	4	0	0
45	0	2242	2279	2373	47	16	131	68	37
49	0	2362	2373	2400	17	10	38	11	11
50	0	2389	2400	2409	9	0	20	11	11
0	0	0	0	2409	893	0	2409	1516	0
