id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	26	23	3	26	0	0
2	0	9	11	63	36	6	54	12	2
3	0	50	63	68	5	0	18	13	13
4	0	106	106	118	12	0	12	0	0
5	0	119	119	202	64	9	83	10	0
7	0	170	183	226	24	4	56	28	13
8	0	289	293	302	9	0	13	4	4
6	0	123	162	304	88	14	181	79	39
9	0	374	374	430	56	0	56	0	0
10	0	423	430	489	59	0	66	7	7
11	0	485	489	553	53	11	68	4	4
12	0	608	608	637	29	0	29	0	0
13	0	617	637	691	48	6	74	20	20
14	0	621	639	716	27	8	95	60	18
15	0	703	716	745	29	0	42	13	13
16	0	735	745	894	146	3	159	10	10
19	0	790	894	907	9	1	117	107	104
17	0	770	896	925	14	4	155	137	126
18	0	783	925	943	18	0	160	142	142
20	0	892	914	947	12	5	55	38	22
26	0	1030	1034	1037	3	0	7	4	4
21	0	967	967	1088	60	13	121	48	0
25	0	1021	1037	1097	22	4	76	50	16
23	0	999	1000	1120	34	9	121	78	1
24	0	1003	1011	1166	62	8	163	93	8
28	0	1159	1166	1170	4	0	11	7	7
29	0	1164	1170	1191	21	0	27	6	6
27	0	1144	1158	1239	25	5	95	65	14
31	0	1189	1196	1263	41	1	74	32	7
32	0	1244	1272	1285	13	0	41	28	28
22	0	986	989	1372	85	2	386	299	3
35	0	1376	1379	1412	33	0	36	3	3
36	0	1382	1412	1421	9	0	39	30	30
34	0	1362	1372	1543	61	8	181	112	10
39	0	1536	1538	1574	30	3	38	5	2
38	0	1516	1532	1595	30	12	79	37	16
37	0	1407	1421	1639	68	5	232	159	14
41	0	1653	1685	1687	2	0	34	32	32
42	0	1686	1692	1697	5	0	11	6	6
40	0	1629	1639	1714	23	5	85	57	10
33	0	1342	1480	1745	112	24	403	267	138
30	0	1179	1191	1790	80	31	611	500	12
44	0	1811	1811	1815	4	0	4	0	0
43	0	1779	1790	1824	27	5	45	13	11
45	0	2275	2275	2286	11	0	11	0	0
47	0	2307	2311	2354	14	10	47	23	4
48	0	2324	2324	2370	38	1	46	7	0
46	0	2289	2289	2399	41	17	110	52	0
49	0	2354	2370	2405	16	1	51	34	16
50	0	2355	2405	2451	32	14	96	50	50
0	0	0	0	2451	684	0	2451	1767	0
