id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	36	36	0	36	0	0
2	0	70	70	74	4	0	4	0	0
4	0	99	109	125	9	7	26	10	10
3	0	98	98	132	16	18	34	0	0
5	0	169	169	202	28	5	33	0	0
6	0	201	202	205	3	0	4	1	1
7	0	327	327	341	10	4	14	0	0
8	0	387	387	400	13	0	13	0	0
9	0	404	404	468	62	2	64	0	0
11	0	466	468	474	6	0	8	2	2
13	0	524	539	543	4	0	19	15	15
12	0	469	482	604	55	21	135	59	13
10	0	465	474	613	79	10	148	59	9
14	0	578	586	624	12	4	46	30	8
15	0	631	631	655	22	2	24	0	0
17	0	692	698	715	17	0	23	6	6
16	0	684	684	739	38	3	55	14	0
18	0	758	758	760	2	0	2	0	0
19	0	799	799	905	75	31	106	0	0
20	0	905	905	923	7	11	18	0	0
21	0	922	923	1005	74	8	83	1	1
22	0	931	954	1009	6	2	78	70	23
23	0	970	1009	1013	4	0	43	39	39
24	0	986	1005	1024	12	6	38	20	19
25	0	1001	1024	1100	44	8	99	47	23
26	0	1037	1046	1118	41	6	81	34	9
29	0	1092	1100	1137	22	1	45	22	8
28	0	1080	1084	1148	17	23	68	28	4
27	0	1070	1148	1167	19	0	97	78	78
31	0	1168	1173	1185	12	0	17	5	5
30	0	1167	1167	1201	22	2	34	10	0
33	0	1366	1367	1375	8	0	9	1	1
32	0	1254	1254	1400	127	15	146	4	0
35	0	1452	1488	1513	22	3	61	36	36
34	0	1448	1448	1517	47	8	69	14	0
37	0	1565	1579	1613	24	10	48	14	14
36	0	1558	1558	1634	37	18	76	21	0
38	0	1613	1620	1646	21	2	33	10	7
39	0	1630	1646	1677	31	0	47	16	16
41	0	1744	1744	1757	13	0	13	0	0
40	0	1714	1714	1802	46	41	88	1	0
42	0	1745	1757	1804	15	1	59	43	12
43	0	1771	1804	1818	14	0	47	33	33
45	0	1963	1963	1994	31	0	31	0	0
46	0	1968	1994	2004	10	0	36	26	26
44	0	1911	1911	2035	57	26	124	41	0
50	0	2061	2103	2114	11	0	53	42	42
48	0	2053	2096	2119	11	7	66	48	43
47	0	2035	2035	2120	63	16	85	6	0
49	0	2059	2120	2164	38	6	105	61	61
0	0	0	0	2164	767	0	2164	1397	0
