id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	5	38	33	0	38	5	5
2	0	1	43	119	24	42	118	52	42
3	0	72	77	131	11	19	59	29	5
4	0	135	140	188	48	0	53	5	5
5	0	225	230	394	93	46	169	30	5
7	0	336	358	469	41	36	133	56	22
6	0	256	308	487	69	32	231	130	52
8	0	518	523	611	29	39	93	25	5
9	0	1228	1233	1383	89	41	155	25	5
10	0	1727	1732	1815	19	23	88	46	5
11	0	1770	1775	1907	52	60	137	25	5
12	0	1947	1952	2053	36	25	106	45	5
13	0	2239	2244	2246	2	0	7	5	5
14	0	2280	2285	2328	43	0	48	5	5
15	0	2332	2337	2344	7	0	12	5	5
16	0	2419	2424	2431	7	0	12	5	5
17	0	2522	2527	2734	117	20	212	75	5
18	0	2576	2597	2743	72	12	167	83	21
19	0	2986	2991	3010	4	5	24	15	5
20	0	3093	3098	3162	35	19	69	15	5
0	0	0	0	3162	1946	0	3162	1216	0
