id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	33	88	129	41	0	96	55	55
10	0	135	441	509	68	0	374	306	306
2	0	6	40	570	71	58	564	435	34
17	0	310	712	772	60	0	462	402	402
6	0	82	232	784	44	38	702	620	150
18	0	329	794	806	12	0	477	465	465
20	0	359	842	860	18	0	501	483	483
21	0	369	870	887	17	0	518	501	501
22	0	377	897	905	8	0	528	520	520
1	0	0	10	920	44	106	920	770	10
23	0	438	930	937	7	0	499	492	492
9	0	134	430	1014	23	39	880	818	296
12	0	169	580	1261	18	117	1092	957	411
27	0	528	1040	1559	68	33	1031	930	512
29	0	597	1144	1575	13	12	978	953	547
11	0	139	519	1661	11	157	1522	1354	380
16	0	249	677	1747	36	44	1498	1418	428
4	0	46	139	1759	79	163	1713	1471	93
26	0	497	1024	1801	16	9	1304	1279	527
7	0	96	313	1849	149	137	1753	1467	217
25	0	461	961	1901	16	90	1440	1334	500
13	0	209	593	2041	124	74	1832	1634	384
24	0	449	947	2053	51	62	1604	1491	498
28	0	583	1113	2175	47	115	1592	1430	530
15	0	236	656	2232	46	107	1996	1843	420
5	0	60	210	2244	57	213	2184	1914	150
14	0	228	643	2278	137	100	2050	1813	415
30	0	617	1161	2306	61	129	1689	1499	544
19	0	330	816	2356	30	207	2026	1789	486
8	0	97	419	2500	60	421	2403	1922	322
0	0	0	0	2500	98	0	2500	2402	0
