id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	76	86	109	23	0	33	10	10
7	0	154	312	360	48	0	206	158	158
3	0	78	119	632	69	37	554	448	41
1	0	0	10	648	40	80	648	528	10
4	0	118	211	744	62	72	626	492	93
16	0	426	832	856	24	0	430	406	406
8	0	172	370	867	4	45	695	646	198
18	0	460	891	895	4	0	435	431	431
10	0	213	410	1178	193	6	965	766	197
12	0	274	658	1190	3	16	916	897	384
13	0	302	669	1217	23	23	915	869	367
5	0	129	272	1238	36	39	1109	1034	143
26	0	523	1038	1552	45	5	1029	979	515
21	0	475	941	1570	9	170	1095	916	466
28	0	553	1093	1583	25	19	1030	986	540
29	0	554	1125	1594	21	0	1040	1019	571
9	0	207	383	1779	57	64	1572	1451	176
19	0	461	905	1805	65	98	1344	1181	444
20	0	471	916	1816	22	78	1345	1245	445
25	0	510	1012	1845	37	8	1335	1290	502
24	0	495	990	1937	32	172	1442	1238	495
11	0	216	603	2003	76	231	1787	1480	387
6	0	131	296	2014	56	166	1883	1661	165
17	0	446	877	2038	23	85	1592	1484	431
30	0	555	1155	2102	31	154	1547	1362	600
27	0	552	1082	2138	30	216	1586	1340	530
15	0	407	778	2277	51	220	1870	1599	371
23	0	489	965	2815	165	287	2326	1874	476
14	0	388	754	2836	180	322	2448	1946	366
22	0	482	952	3082	163	595	2600	1842	470
0	0	0	0	3082	145	0	3082	2937	0
