id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
7	0	87	342	352	10	0	265	255	255
9	0	109	452	457	5	0	348	343	343
12	0	203	621	631	10	0	428	418	418
4	0	33	155	668	84	1	635	550	122
19	0	301	786	788	2	0	487	485	485
6	0	57	306	890	30	34	833	769	249
1	0	0	10	996	84	51	996	861	10
29	0	567	1161	1162	1	0	595	594	594
11	0	187	608	1218	16	28	1031	987	421
14	0	238	678	1274	32	3	1036	1001	440
13	0	207	641	1316	4	101	1109	1004	434
16	0	260	711	1331	29	50	1071	992	451
21	0	372	835	1442	53	49	1070	968	463
23	0	392	930	1474	23	12	1082	1047	538
22	0	390	900	1488	24	32	1098	1042	510
10	0	169	480	1545	9	68	1376	1299	311
25	0	513	1020	1575	6	75	1062	981	507
15	0	245	700	1723	27	86	1478	1365	455
5	0	42	234	1792	92	147	1750	1511	192
30	0	583	1172	1881	55	21	1298	1222	589
8	0	99	427	1905	63	148	1806	1595	328
3	0	11	91	2003	239	187	1992	1566	80
20	0	310	798	2025	56	89	1715	1570	488
17	0	265	745	2046	38	177	1781	1566	480
2	0	1	67	2125	91	158	2124	1875	66
24	0	499	1006	2165	55	48	1666	1563	507
18	0	278	764	2201	58	179	1923	1686	486
27	0	534	1108	2254	92	163	1720	1465	574
28	0	550	1150	2274	47	145	1724	1532	600
26	0	527	1048	2287	31	182	1760	1547	521
0	0	0	0	2287	-19	0	2287	2306	0
