id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	10	19	9	0	19	10	10
2	0	24	34	160	70	9	136	57	10
4	0	63	73	374	119	3	311	189	10
3	0	28	61	444	141	37	416	238	33
23	0	405	484	573	89	0	168	79	79
20	0	361	454	639	17	87	278	174	93
30	0	535	615	739	34	36	204	134	80
24	0	422	473	764	22	113	342	207	51
14	0	249	660	777	11	31	528	486	411
28	0	503	678	816	58	35	313	220	175
22	0	394	843	844	1	0	450	449	449
21	0	382	902	1032	10	40	650	600	520
26	0	482	854	1110	32	98	628	498	372
16	0	276	1042	1189	48	15	913	850	766
7	0	134	649	1228	77	213	1094	804	515
19	0	338	1253	1348	30	18	1010	962	915
9	0	176	1265	1367	12	33	1191	1146	1089
12	0	224	891	1394	44	116	1170	1010	667
8	0	149	1278	1405	33	60	1256	1163	1129
27	0	494	1429	1433	4	0	939	935	935
5	0	82	1472	1473	1	0	1391	1390	1390
29	0	527	1443	1532	2	21	1005	982	916
10	0	178	1454	1566	11	14	1388	1363	1276
13	0	241	1483	1761	59	56	1520	1405	1242
6	0	127	916	1821	112	316	1694	1266	789
17	0	287	1602	1972	40	142	1685	1503	1315
11	0	210	1591	2095	75	152	1885	1658	1381
15	0	259	1831	2209	18	154	1950	1778	1572
25	0	479	1844	2501	79	317	2022	1626	1365
18	0	311	1855	2532	98	337	2221	1786	1544
0	0	0	0	2532	116	0	2532	2416	0
