id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	33	88	129	41	0	96	55	55
2	0	6	40	261	81	58	255	116	34
1	0	0	10	322	104	106	322	112	10
12	0	169	271	429	8	117	260	135	102
16	0	249	284	539	56	44	290	190	35
9	0	134	332	551	63	39	417	315	198
26	0	497	592	748	76	9	251	166	95
11	0	139	439	760	61	157	621	403	300
13	0	209	572	891	64	74	682	544	363
24	0	449	638	913	41	62	464	361	189
27	0	528	811	933	48	33	405	324	283
29	0	597	943	1008	13	12	411	386	346
17	0	310	1136	1186	50	0	876	826	826
28	0	583	960	1258	17	115	675	543	377
4	0	46	971	1437	39	163	1391	1189	925
21	0	369	1515	1522	7	0	1153	1146	1146
18	0	329	1532	1574	42	0	1245	1203	1203
5	0	60	1029	1597	67	213	1537	1257	969
15	0	236	1071	1732	86	107	1496	1303	835
8	0	97	1018	1854	100	421	1757	1236	921
25	0	461	1634	1903	56	90	1442	1296	1173
23	0	438	1948	1955	7	0	1517	1510	1510
10	0	135	1965	1973	8	0	1838	1830	1830
22	0	377	2008	2056	48	0	1679	1631	1631
6	0	82	1983	2088	4	38	2006	1964	1901
7	0	96	1797	2166	59	137	2070	1874	1701
20	0	359	2211	2229	18	0	1870	1852	1852
14	0	228	1784	2243	47	100	2015	1868	1556
30	0	617	1622	2328	61	129	1711	1521	1005
19	0	330	1995	2443	40	207	2113	1866	1665
0	0	0	0	2443	51	0	2443	2392	0
