id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	76	86	109	23	0	33	10	10
7	0	154	211	269	58	0	115	57	57
3	0	78	119	296	69	37	218	112	41
1	0	0	10	322	50	80	322	192	10
12	0	274	332	437	53	16	163	94	58
13	0	302	343	604	163	23	302	116	41
29	0	554	644	665	21	0	111	90	90
28	0	553	675	742	15	19	189	155	122
8	0	172	792	966	54	45	794	695	620
30	0	555	631	979	11	154	424	259	76
6	0	131	359	1002	56	166	871	649	228
27	0	552	697	1079	30	216	527	281	145
9	0	207	752	1093	57	64	886	765	545
25	0	510	1012	1158	17	8	648	623	502
5	0	129	1211	1361	6	39	1232	1187	1082
10	0	213	1307	1407	53	6	1194	1135	1094
20	0	471	1225	1548	42	78	1077	957	754
16	0	426	1588	1612	24	0	1186	1162	1162
26	0	523	1574	1657	25	5	1134	1104	1051
21	0	475	1495	1769	49	170	1294	1075	1020
18	0	460	1934	1958	24	0	1498	1474	1474
24	0	495	1709	2024	52	172	1529	1305	1214
17	0	446	1695	2036	13	85	1590	1492	1249
4	0	118	2131	2286	42	72	2168	2054	2013
19	0	461	2070	2374	65	98	1913	1750	1609
23	0	489	1028	2388	175	287	1899	1437	539
14	0	388	1115	2455	120	322	2067	1625	727
11	0	216	2106	2530	26	231	2314	2057	1890
15	0	407	2465	2844	41	220	2437	2176	2058
22	0	482	2118	3300	173	595	2818	2050	1636
0	0	0	0	3300	353	0	3300	2947	0
