id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	10	283	60	34	283	189	10
11	0	100	307	308	1	0	208	207	207
21	0	252	318	365	47	0	113	66	66
23	0	326	405	407	2	0	81	79	79
10	0	88	437	522	85	0	434	349	349
24	0	339	387	618	39	39	279	201	48
2	0	20	45	629	201	108	609	300	25
30	0	534	580	695	27	52	161	82	46
22	0	321	417	1067	35	269	746	442	96
26	0	451	809	1088	54	103	637	480	358
25	0	437	820	1163	49	177	726	500	383
27	0	455	719	1174	77	90	719	552	264
9	0	86	1208	1358	22	45	1272	1205	1122
14	0	123	1421	1432	11	0	1309	1298	1298
19	0	210	1184	1464	39	144	1254	1071	974
8	0	84	1389	1494	13	43	1410	1354	1305
15	0	144	1404	1598	11	87	1454	1356	1260
29	0	501	639	1632	147	348	1131	636	138
20	0	227	1655	1721	10	1	1494	1483	1428
4	0	36	1666	1757	39	13	1721	1669	1630
16	0	161	1504	2039	79	98	1878	1701	1343
18	0	205	1847	2061	51	60	1856	1745	1642
13	0	119	1946	2081	55	47	1962	1860	1827
12	0	114	1933	2194	24	81	2080	1975	1819
3	0	35	2239	2252	13	0	2217	2204	2204
17	0	191	1225	2329	151	260	2138	1727	1034
7	0	63	1832	2495	65	217	2432	2150	1769
5	0	41	2130	2570	78	125	2529	2326	2089
28	0	492	2226	2775	56	197	2283	2030	1734
6	0	49	2204	2941	83	337	2892	2472	2155
0	0	0	0	2941	177	0	2941	2764	0
