id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	76	86	109	23	0	33	10	10
7	0	154	312	360	48	0	206	158	158
3	0	78	119	632	69	37	554	448	41
1	0	0	10	648	40	80	648	528	10
4	0	118	211	744	62	72	626	492	93
16	0	426	832	856	24	0	430	406	406
8	0	172	370	867	4	45	695	646	198
18	0	460	891	895	4	0	435	431	431
29	0	554	1125	1166	41	0	612	571	571
10	0	213	410	1199	193	6	986	787	197
12	0	274	658	1211	3	16	937	918	384
13	0	302	669	1248	33	23	946	890	367
5	0	129	272	1259	26	39	1130	1065	143
26	0	523	1038	1573	45	5	1050	1000	515
21	0	475	941	1591	9	170	1116	937	466
28	0	553	1093	1604	25	19	1051	1007	540
9	0	207	383	1789	57	64	1582	1461	176
19	0	461	905	1815	65	98	1354	1191	444
20	0	471	916	1826	22	78	1355	1255	445
25	0	510	1012	1855	37	8	1345	1300	502
24	0	495	990	1947	32	172	1452	1248	495
11	0	216	603	2013	76	231	1797	1490	387
6	0	131	296	2024	56	166	1893	1671	165
17	0	446	877	2048	23	85	1602	1494	431
30	0	555	1176	2112	31	154	1557	1372	621
27	0	552	1082	2148	30	216	1596	1350	530
15	0	407	778	2287	51	220	1880	1609	371
14	0	388	754	2828	190	322	2440	1928	366
23	0	489	965	2852	175	287	2363	1901	476
22	0	482	952	3080	153	595	2598	1850	470
0	0	0	0	3080	133	0	3080	2947	0
