id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
7	0	87	342	352	10	0	265	255	255
9	0	109	452	457	5	0	348	343	343
12	0	203	621	631	10	0	428	418	418
4	0	33	155	668	84	1	635	550	122
19	0	301	786	788	2	0	487	485	485
6	0	57	306	890	30	34	833	769	249
1	0	0	10	996	84	51	996	861	10
29	0	567	1161	1162	1	0	595	594	594
11	0	187	608	1218	16	28	1031	987	421
14	0	238	678	1274	32	3	1036	1001	440
13	0	207	641	1316	4	101	1109	1004	434
16	0	260	711	1331	29	50	1071	992	451
21	0	372	835	1442	53	49	1070	968	463
23	0	392	930	1474	23	12	1082	1047	538
22	0	390	900	1488	24	32	1098	1042	510
10	0	169	480	1563	9	68	1394	1317	311
25	0	513	1020	1603	6	75	1090	1009	507
15	0	245	700	1751	27	86	1506	1393	455
5	0	42	234	1820	92	147	1778	1539	192
30	0	583	1172	1902	55	21	1319	1243	589
8	0	99	427	1926	63	148	1827	1616	328
3	0	11	91	2026	239	187	2015	1589	80
20	0	310	798	2048	56	89	1738	1593	488
17	0	265	745	2079	48	177	1814	1589	480
24	0	499	1006	2101	65	48	1602	1489	507
2	0	1	67	2137	91	158	2136	1887	66
27	0	534	1108	2182	62	163	1648	1423	574
18	0	278	764	2218	58	179	1940	1703	486
28	0	550	1150	2281	47	145	1731	1539	600
26	0	527	1048	2304	51	182	1777	1544	521
0	0	0	0	2304	8	0	2304	2296	0
