id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	33	88	129	41	0	96	55	55
10	0	135	441	509	68	0	374	306	306
2	0	6	40	570	71	58	564	435	34
17	0	310	712	772	60	0	462	402	402
6	0	82	232	784	44	38	702	620	150
18	0	329	794	806	12	0	477	465	465
20	0	359	842	860	18	0	501	483	483
21	0	369	870	887	17	0	518	501	501
22	0	377	897	905	8	0	528	520	520
1	0	0	10	920	44	106	920	770	10
23	0	438	930	937	7	0	499	492	492
9	0	134	430	1014	23	39	880	818	296
12	0	169	580	1261	18	117	1092	957	411
27	0	528	1040	1559	68	33	1031	930	512
29	0	597	1144	1575	13	12	978	953	547
11	0	139	519	1677	11	157	1538	1370	380
16	0	249	677	1773	26	44	1524	1454	428
4	0	46	139	1785	79	163	1739	1497	93
26	0	497	1024	1827	16	9	1330	1305	527
7	0	96	313	1875	149	137	1779	1493	217
25	0	461	961	1927	16	90	1466	1360	500
13	0	209	593	2057	144	74	1848	1630	384
24	0	449	947	2069	51	62	1620	1507	498
30	0	617	1161	2126	51	129	1509	1329	544
28	0	583	1113	2160	57	115	1577	1405	530
5	0	60	210	2249	57	213	2189	1919	150
15	0	236	656	2261	46	107	2025	1872	420
14	0	228	643	2296	117	100	2068	1851	415
19	0	330	816	2346	40	207	2016	1769	486
8	0	97	419	2483	60	421	2386	1905	322
0	0	0	0	2483	91	0	2483	2392	0
