id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	10	19	9	0	19	10	10
2	0	24	34	160	70	9	136	57	10
5	0	82	170	171	1	0	89	88	88
4	0	63	73	778	89	3	715	623	10
22	0	394	853	854	1	0	460	459	459
23	0	405	864	883	19	0	478	459	459
8	0	149	383	925	33	60	776	683	234
10	0	178	448	959	11	14	781	756	270
9	0	176	415	988	42	33	812	737	239
27	0	494	1033	1037	4	0	543	539	539
3	0	28	61	1222	81	37	1194	1076	33
14	0	249	641	1294	41	31	1045	973	392
19	0	338	788	1364	40	18	1026	968	450
21	0	382	819	1410	30	40	1028	958	437
28	0	503	1078	1651	58	35	1148	1055	575
29	0	527	1134	1662	2	21	1135	1112	607
30	0	535	1145	1684	44	36	1149	1069	610
16	0	276	702	1744	28	15	1468	1425	426
20	0	361	800	1768	17	87	1407	1303	439
17	0	287	726	1796	50	142	1509	1317	439
24	0	422	893	1846	42	113	1424	1269	471
26	0	482	998	1880	42	98	1398	1258	516
13	0	241	608	1940	29	56	1699	1614	367
12	0	224	477	1957	174	116	1733	1443	253
15	0	259	689	2005	18	154	1746	1574	430
11	0	210	466	2047	45	152	1837	1640	256
7	0	134	362	2154	77	213	2020	1730	228
6	0	127	316	2273	92	316	2146	1738	189
18	0	311	763	2407	108	337	2096	1651	452
25	0	479	935	2470	79	317	1991	1595	456
0	0	0	0	2470	54	0	2470	2416	0
