id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
19	0	301	365	387	22	0	86	64	64
23	0	392	439	486	3	12	94	79	47
29	0	567	620	621	1	0	54	53	53
13	0	207	450	709	4	101	502	397	243
1	0	0	10	736	64	51	736	621	10
25	0	513	643	818	26	75	305	204	130
9	0	109	907	942	35	0	833	798	798
16	0	260	828	1001	39	50	741	652	568
5	0	42	67	1081	42	147	1039	850	25
6	0	57	1011	1095	10	34	1038	994	954
10	0	169	240	1142	99	68	973	806	71
20	0	310	397	1310	46	89	1000	865	87
2	0	1	166	1364	101	158	1363	1104	165
26	0	527	800	1450	61	182	923	680	273
12	0	203	1471	1501	30	0	1298	1268	1268
22	0	390	1409	1515	34	32	1125	1059	1019
7	0	87	1542	1562	20	0	1475	1455	1455
3	0	11	89	1646	89	187	1635	1359	78
11	0	187	496	1732	156	28	1545	1361	309
21	0	372	1592	1744	23	49	1372	1300	1220
15	0	245	332	1774	17	86	1529	1426	87
17	0	265	1390	1805	38	177	1540	1325	1125
30	0	583	719	1866	45	21	1283	1217	136
18	0	278	343	1966	58	179	1688	1451	65
28	0	550	609	2077	67	145	1527	1315	59
8	0	99	877	2091	53	148	1992	1791	778
4	0	33	2017	2106	34	1	2073	2038	1984
14	0	238	462	2136	32	3	1898	1863	224
24	0	499	746	2287	95	48	1788	1645	247
27	0	534	631	2304	32	163	1770	1575	97
0	0	0	0	2304	8	0	2304	2296	0
