id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
11	0	100	248	249	1	0	149	148	148
14	0	123	290	291	1	0	168	167	167
3	0	35	301	314	13	0	279	266	266
23	0	326	367	369	2	0	43	41	41
10	0	88	403	418	15	0	330	315	315
2	0	20	45	677	211	108	657	338	25
30	0	534	582	816	27	52	282	203	48
25	0	437	606	949	49	177	512	286	169
4	0	36	868	975	49	13	939	877	832
21	0	252	1048	1055	7	0	803	796	796
8	0	84	496	1133	83	43	1049	923	412
9	0	86	1031	1205	22	45	1119	1052	945
15	0	144	1065	1219	31	87	1075	957	921
24	0	339	1155	1332	39	39	993	915	816
20	0	227	259	1361	40	1	1134	1093	32
18	0	205	1272	1399	31	60	1194	1103	1067
13	0	119	621	1449	65	47	1330	1218	502
26	0	451	485	1587	14	103	1136	1019	34
7	0	63	440	1773	125	217	1710	1368	377
27	0	455	1491	1934	87	90	1479	1302	1036
22	0	321	1471	2049	25	269	1728	1434	1150
12	0	114	324	2127	74	81	2013	1858	210
1	0	0	10	2259	50	34	2259	2175	10
19	0	210	1981	2271	59	144	2061	1858	1771
16	0	161	700	2307	79	98	2146	1969	539
6	0	49	1534	2425	113	337	2376	1926	1485
28	0	492	593	2513	76	197	2021	1748	101
5	0	41	2210	2543	48	125	2502	2329	2169
17	0	191	852	2682	91	260	2491	2140	661
29	0	501	2317	3000	117	348	2499	2034	1816
0	0	0	0	3000	236	0	3000	2764	0
