id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	33	88	129	41	0	96	55	55
9	0	134	200	297	3	39	163	121	66
6	0	82	211	359	64	38	277	175	129
2	0	6	40	546	51	58	540	431	34
16	0	249	447	699	66	44	450	340	198
12	0	169	520	756	28	117	587	442	351
23	0	438	798	815	17	0	377	360	360
21	0	369	837	864	27	0	495	468	468
22	0	377	902	910	8	0	533	525	525
20	0	359	920	938	18	0	579	561	561
29	0	597	885	954	13	12	357	332	288
26	0	497	782	982	26	9	485	450	285
10	0	135	1010	1028	18	0	893	875	875
11	0	139	992	1233	11	157	1094	926	853
17	0	310	1273	1303	30	0	993	963	963
24	0	449	556	1346	41	62	897	794	107
25	0	461	1106	1380	46	90	919	783	645
19	0	330	424	1538	60	207	1208	941	94
28	0	583	655	1591	37	115	1008	856	72
8	0	97	139	1628	150	421	1531	960	42
7	0	96	766	1691	79	137	1595	1379	670
13	0	209	1429	1822	94	74	1613	1445	1220
4	0	46	1492	1834	49	163	1788	1576	1446
18	0	329	1844	1856	12	0	1527	1515	1515
15	0	236	1638	2137	76	107	1901	1718	1402
27	0	528	1967	2209	78	33	1681	1570	1439
5	0	60	233	2244	117	213	2184	1854	173
1	0	0	10	2269	74	106	2269	2089	10
14	0	228	411	2283	47	100	2055	1908	183
30	0	617	709	2507	61	129	1890	1700	92
0	0	0	0	2507	115	0	2507	2392	0
