id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	10	19	9	0	19	10	10
5	0	82	107	148	41	0	66	25	25
8	0	149	220	469	53	60	320	207	71
22	0	394	479	550	71	0	156	85	85
29	0	527	582	636	2	21	109	86	55
2	0	24	34	671	30	9	647	608	10
4	0	63	73	789	79	3	726	644	10
27	0	494	811	815	4	0	321	317	317
16	0	276	731	852	8	15	576	553	455
21	0	382	717	909	20	40	527	467	335
26	0	482	681	945	12	98	463	353	199
24	0	422	560	1025	12	113	603	478	138
10	0	178	1208	1340	51	14	1162	1097	1030
13	0	241	1052	1379	59	56	1138	1023	811
17	0	287	971	1407	50	142	1120	928	684
7	0	134	179	1421	117	213	1287	957	45
9	0	176	694	1486	22	33	1310	1255	518
23	0	405	1496	1525	29	0	1120	1091	1091
14	0	249	1459	1549	11	31	1300	1258	1210
15	0	259	345	1773	138	154	1514	1222	86
20	0	361	1578	1855	47	87	1494	1360	1217
12	0	224	313	1872	44	116	1648	1488	89
30	0	535	646	1912	14	36	1377	1327	111
11	0	210	282	2021	75	152	1811	1584	72
19	0	338	593	2059	60	18	1721	1643	255
28	0	503	1559	2113	38	35	1610	1537	1056
3	0	28	61	2213	71	37	2185	2077	33
6	0	127	955	2243	122	316	2116	1678	828
18	0	311	334	2284	68	337	1973	1568	23
25	0	479	571	2635	39	317	2156	1800	92
0	0	0	0	2635	219	0	2635	2416	0
