id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	76	86	109	23	0	33	10	10
8	0	172	202	332	4	45	160	111	30
4	0	118	181	354	12	72	236	152	63
12	0	274	342	460	63	16	186	107	68
5	0	129	215	611	186	39	482	257	86
16	0	426	692	706	14	0	280	266	266
26	0	523	716	829	65	5	306	236	193
18	0	460	988	1032	44	0	572	528	528
30	0	555	679	1045	31	154	490	305	124
17	0	446	907	1274	63	85	828	680	461
27	0	552	643	1304	10	216	752	526	91
24	0	495	654	1359	22	172	864	670	159
20	0	471	1085	1396	22	78	925	825	614
3	0	78	119	1433	79	37	1355	1239	41
7	0	154	1584	1602	18	0	1448	1430	1430
21	0	475	632	1661	39	170	1186	977	157
9	0	207	1443	1685	27	64	1478	1387	1236
25	0	510	1147	1704	47	8	1194	1139	637
10	0	213	375	1724	23	6	1511	1482	162
1	0	0	10	1810	30	80	1810	1700	10
11	0	216	269	1851	106	231	1635	1298	53
6	0	131	1369	2021	66	166	1890	1658	1238
28	0	553	1958	2078	55	19	1525	1451	1405
15	0	407	1754	2313	61	220	1906	1625	1347
13	0	302	1194	2373	63	23	2071	1985	892
19	0	461	621	2590	75	98	2129	1956	160
14	0	388	750	2662	160	322	2274	1792	362
29	0	554	2694	2725	31	0	2171	2140	2140
23	0	489	1055	2892	95	287	2403	2021	566
22	0	482	666	3159	153	595	2677	1929	184
0	0	0	0	3159	212	0	3159	2947	0
