id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
4	0	32	55	85	10	4	53	39	23
3	0	29	63	87	5	17	58	36	34
5	0	121	162	197	26	2	76	48	41
2	0	20	33	214	65	14	194	115	13
7	0	210	223	236	13	0	26	13	13
6	0	205	214	240	13	6	35	16	9
8	0	222	240	300	60	0	78	18	18
9	0	237	300	318	18	0	81	63	63
11	0	321	326	370	44	0	49	5	5
14	0	363	412	472	60	0	109	49	49
12	0	327	472	485	13	0	158	145	145
15	0	464	485	527	16	3	63	44	21
17	0	504	527	531	4	0	27	23	23
13	0	328	488	544	35	10	216	171	160
10	0	273	318	567	69	6	294	219	45
16	0	496	531	618	59	8	122	55	35
21	0	666	714	717	3	0	51	48	48
18	0	572	618	728	34	5	156	117	46
22	0	747	748	758	10	0	11	1	1
19	0	599	648	805	61	16	206	129	49
20	0	605	641	839	98	17	234	119	36
1	0	0	0	862	138	3	862	721	0
23	0	806	839	884	30	3	78	45	33
24	0	854	884	885	1	0	31	30	30
25	0	877	885	901	16	0	24	8	8
26	0	909	909	924	12	3	15	0	0
27	0	995	995	999	4	0	4	0	0
28	0	1013	1013	1091	73	5	78	0	0
29	0	1062	1091	1111	20	0	49	29	29
30	0	1098	1111	1164	50	3	66	13	13
31	0	1192	1192	1194	2	0	2	0	0
32	0	1252	1252	1289	33	4	37	0	0
33	0	1278	1289	1290	1	0	12	11	11
34	0	1299	1299	1304	5	0	5	0	0
35	0	1330	1330	1360	28	2	30	0	0
36	0	1443	1443	1468	22	3	25	0	0
37	0	1480	1480	1523	42	1	43	0	0
38	0	1535	1535	1538	3	0	3	0	0
39	0	1641	1641	1668	13	14	27	0	0
40	0	1724	1724	1759	16	4	35	15	0
41	0	1731	1737	1797	26	7	66	33	6
43	0	1757	1784	1812	10	13	55	32	27
42	0	1738	1753	1852	76	11	114	27	15
44	0	1804	1852	1885	32	1	81	48	48
46	0	1912	1928	2041	50	5	129	74	16
45	0	1894	1894	2082	71	5	188	112	0
50	0	2052	2119	2149	30	0	97	67	67
48	0	2031	2041	2168	29	12	137	96	10
49	0	2043	2101	2212	66	32	169	71	58
47	0	1924	1930	2250	106	29	326	191	6
0	0	0	0	2250	529	0	2250	1721	0
