id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	26	23	3	26	0	0
2	0	9	11	63	36	6	54	12	2
3	0	50	63	68	5	0	18	13	13
4	0	106	106	118	12	0	12	0	0
5	0	119	119	202	64	9	83	10	0
7	0	170	196	225	24	4	55	27	26
8	0	289	297	306	9	0	17	8	8
6	0	123	162	308	88	14	185	83	39
9	0	374	374	430	56	0	56	0	0
10	0	423	430	489	59	0	66	7	7
11	0	485	489	553	53	11	68	4	4
12	0	608	608	637	29	0	29	0	0
13	0	617	637	691	48	6	74	20	20
14	0	621	639	716	27	8	95	60	18
15	0	703	716	745	29	0	42	13	13
16	0	735	745	894	146	3	159	10	10
20	0	892	898	917	12	5	25	8	6
17	0	770	894	920	14	4	150	132	124
18	0	783	922	940	18	0	157	139	139
19	0	790	920	947	9	1	157	147	130
22	0	986	989	1093	85	2	107	20	3
26	0	1030	1106	1109	3	0	79	76	76
23	0	999	1000	1141	34	9	142	99	1
25	0	1021	1109	1161	22	4	140	114	88
27	0	1144	1145	1179	25	5	35	5	1
28	0	1159	1179	1183	4	0	24	20	20
29	0	1164	1183	1204	21	0	40	19	19
31	0	1189	1209	1260	41	1	71	29	20
32	0	1244	1307	1320	13	0	76	63	63
35	0	1376	1391	1424	33	0	48	15	15
36	0	1382	1459	1468	9	0	86	77	77
30	0	1179	1204	1537	80	31	358	247	25
21	0	967	967	1568	60	13	601	528	0
39	0	1536	1543	1596	30	3	60	27	7
37	0	1407	1468	1643	68	5	236	163	61
38	0	1516	1537	1664	30	12	148	106	21
41	0	1653	1665	1667	2	0	14	12	12
42	0	1686	1688	1693	5	0	7	2	2
40	0	1629	1664	1710	23	5	81	53	35
34	0	1362	1384	1713	61	8	351	282	22
24	0	1003	1011	1759	62	8	756	686	8
33	0	1342	1348	1796	112	24	454	318	6
44	0	1811	1814	1818	4	0	7	3	3
43	0	1779	1796	1828	27	5	49	17	17
45	0	2275	2275	2286	11	0	11	0	0
47	0	2307	2311	2354	14	10	47	23	4
46	0	2289	2289	2373	41	17	84	26	0
49	0	2354	2373	2418	16	1	64	47	19
48	0	2324	2324	2434	38	1	110	71	0
50	0	2355	2383	2437	32	14	82	36	28
0	0	0	0	2437	670	0	2437	1767	0
