id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	5	26	21	0	26	5	5
2	0	63	68	117	25	14	54	15	5
4	0	123	139	189	28	12	66	26	16
3	0	111	122	220	30	25	109	54	11
5	0	233	238	319	61	10	86	15	5
6	0	535	540	602	32	20	67	15	5
7	0	642	647	681	13	11	39	15	5
8	0	1337	1342	1349	7	0	12	5	5
10	0	1395	1400	1401	1	0	6	5	5
9	0	1368	1373	1429	13	33	61	15	5
11	0	1423	1434	1435	1	0	12	11	11
13	0	1601	1606	1618	12	0	17	5	5
12	0	1566	1571	1727	63	66	161	32	5
15	0	1686	1732	1733	1	0	47	46	46
16	0	1712	1738	1741	3	0	29	26	26
14	0	1659	1664	1798	40	33	139	66	5
18	0	1866	1871	1883	12	0	17	5	5
17	0	1749	1762	1891	27	46	142	69	13
19	0	2043	2048	2049	1	0	6	5	5
20	0	2222	2227	2235	8	0	13	5	5
0	0	0	0	2235	1531	0	2235	704	0
