id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
4	0	32	49	102	10	4	70	56	17
3	0	29	81	123	5	17	94	72	52
5	1	121	143	178	26	2	57	29	22
2	0	20	20	195	65	14	175	96	0
7	0	210	210	227	13	0	17	4	0
6	0	205	205	236	13	6	31	12	0
9	0	237	237	255	18	0	18	0	0
12	0	327	348	361	13	0	34	21	21
8	0	222	227	378	60	0	156	96	5
15	0	464	464	483	16	3	19	0	0
13	1	328	361	487	35	10	159	114	33
17	0	504	504	510	4	0	6	2	0
10	1	273	273	551	69	6	278	203	0
21	0	666	696	703	3	0	37	34	30
22	0	747	747	757	10	0	10	0	0
11	1	321	321	775	44	0	454	410	0
18	1	572	572	800	34	5	228	189	0
1	1	0	0	838	138	3	838	697	0
23	1	806	806	840	30	3	34	1	0
20	1	605	605	850	98	17	245	130	0
24	0	854	854	855	1	0	1	0	0
19	1	599	599	857	61	16	258	181	0
14	2	363	378	874	60	0	511	451	15
25	0	877	877	893	16	0	16	0	0
16	2	496	496	901	59	8	405	338	0
26	0	909	909	924	12	3	15	0	0
27	0	995	995	999	4	0	4	0	0
29	0	1062	1062	1082	20	0	20	0	0
28	1	1013	1013	1131	73	5	118	40	0
30	2	1098	1098	1164	50	3	66	13	0
31	0	1192	1192	1194	2	0	2	0	0
33	0	1278	1278	1279	1	0	1	0	0
32	0	1252	1252	1290	33	4	38	1	0
34	0	1299	1299	1304	5	0	5	0	0
35	1	1330	1330	1360	28	2	30	0	0
36	0	1443	1443	1468	22	3	25	0	0
37	1	1480	1480	1523	42	1	43	0	0
38	0	1535	1535	1538	3	0	3	0	0
39	0	1641	1641	1668	13	14	27	0	0
40	0	1724	1724	1755	16	4	31	11	0
43	0	1757	1779	1802	10	13	45	22	22
41	0	1731	1731	1803	26	7	72	39	0
44	0	1804	1804	1837	32	1	33	0	0
42	2	1738	1748	1886	76	11	148	61	10
46	1	1912	1912	2020	50	5	108	53	0
45	1	1894	1894	2039	71	5	145	69	0
48	0	2031	2031	2089	29	12	58	17	0
50	0	2052	2080	2158	30	0	106	76	28
49	1	2043	2043	2166	66	32	123	25	0
47	3	1924	1940	2277	106	29	353	218	16
0	0	0	0	2277	556	0	2277	1721	0
