id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	28	23	3	28	2	0
3	0	50	50	55	5	0	5	0	0
2	0	9	9	68	36	6	59	17	0
4	0	106	106	118	12	0	12	0	0
7	1	170	210	258	24	4	88	60	40
8	0	289	289	298	9	0	9	0	0
5	1	119	119	303	64	9	184	111	0
6	2	123	123	305	88	14	182	80	0
9	2	374	374	470	56	0	96	40	0
10	2	423	423	517	59	0	94	35	0
11	2	485	485	549	53	11	64	0	0
12	0	608	608	647	29	0	39	10	0
13	1	617	617	727	48	6	110	56	0
15	1	703	703	737	29	0	34	5	0
14	1	621	621	762	27	8	141	106	0
17	0	770	770	788	14	4	18	0	0
19	0	790	790	800	9	1	10	0	0
18	0	783	783	813	18	0	30	12	0
20	0	892	892	909	12	5	17	0	0
16	5	735	735	940	146	3	205	56	0
26	0	1030	1054	1057	3	0	27	24	24
25	0	1021	1105	1163	22	4	142	116	84
24	0	1003	1097	1217	62	8	214	144	94
27	0	1144	1153	1276	25	5	132	102	9
31	0	1189	1218	1289	41	1	100	58	29
32	0	1244	1289	1322	13	0	78	65	45
28	0	1159	1163	1326	4	0	167	163	4
23	1	999	999	1342	34	9	343	300	0
36	0	1382	1403	1412	9	0	30	21	21
38	0	1516	1516	1579	30	12	63	21	0
39	1	1536	1536	1627	30	3	91	58	0
41	0	1653	1653	1655	2	0	2	0	0
40	0	1629	1629	1659	23	5	30	2	0
29	1	1164	1289	1680	21	0	516	495	125
21	1	967	967	1683	60	13	716	643	0
42	0	1686	1686	1691	5	0	5	0	0
35	1	1376	1407	1694	33	0	318	285	31
30	1	1179	1189	1701	80	31	522	411	10
33	1	1342	1342	1702	112	24	360	224	0
34	1	1362	1376	1764	61	8	402	333	14
37	2	1407	1479	1802	68	5	395	322	72
43	0	1779	1779	1811	27	5	32	0	0
44	0	1811	1811	1815	4	0	4	0	0
22	2	986	986	1821	85	2	835	748	0
45	0	2275	2275	2286	11	0	11	0	0
47	0	2307	2307	2341	14	10	34	10	0
46	0	2289	2289	2402	41	17	113	55	0
48	0	2324	2324	2418	38	1	94	55	0
49	0	2354	2354	2424	16	1	70	53	0
50	1	2355	2366	2450	32	14	95	49	11
0	0	0	0	2450	683	0	2450	1767	0
