id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	13	13	41	8	0	28	20	0
1	1	0	0	71	54	11	71	6	0
4	0	252	252	322	30	21	70	19	0
5	0	285	285	328	25	5	43	13	0
7	0	393	393	413	20	0	20	0	0
6	2	309	328	422	63	11	113	39	19
3	3	169	169	430	102	21	261	138	0
9	0	470	470	479	9	0	9	0	0
10	0	499	499	511	10	2	12	0	0
8	0	469	469	524	34	2	55	19	0
11	0	543	543	574	25	6	31	0	0
13	0	654	654	717	19	8	63	36	0
14	0	669	669	733	34	10	64	20	0
15	0	789	789	790	1	0	1	0	0
12	2	640	640	795	90	11	155	54	0
17	0	1060	1060	1091	17	13	31	1	0
18	0	1089	1089	1098	5	4	9	0	0
16	2	1029	1029	1134	76	14	105	15	0
20	1	1243	1243	1266	21	0	23	2	0
21	0	1269	1269	1318	34	15	49	0	0
22	0	1292	1292	1347	5	30	55	20	0
23	0	1325	1347	1366	16	3	41	22	22
24	0	1369	1369	1390	21	0	21	0	0
25	0	1392	1392	1401	9	0	9	0	0
26	0	1406	1406	1412	6	0	6	0	0
19	3	1238	1238	1460	104	12	222	106	0
27	0	1518	1518	1524	6	0	6	0	0
29	0	1673	1673	1710	17	0	37	20	0
32	0	1737	1755	1817	18	5	80	57	18
30	0	1686	1710	1828	49	7	142	86	24
34	0	1816	1828	1835	7	0	19	12	12
31	0	1722	1722	1838	33	2	116	81	0
33	1	1769	1774	1840	23	0	71	48	5
35	1	1854	1854	1915	39	2	61	20	0
28	2	1654	1654	1929	89	1	275	185	0
36	0	1962	1962	1974	12	0	12	0	0
37	0	1998	1998	2196	32	30	198	136	0
40	0	2060	2191	2198	5	0	138	133	131
38	1	2012	2012	2206	48	5	194	141	0
46	0	2247	2267	2279	12	0	32	20	20
43	0	2221	2221	2298	30	0	77	47	0
47	0	2281	2298	2303	5	0	22	17	17
45	0	2242	2247	2324	47	16	82	19	5
44	0	2233	2233	2328	13	1	95	81	0
39	1	2023	2023	2343	70	4	320	246	0
41	1	2072	2097	2344	48	10	272	214	25
48	0	2349	2349	2353	4	0	4	0	0
49	0	2362	2362	2389	17	10	27	0	0
50	0	2389	2389	2398	9	0	9	0	0
42	1	2117	2121	2407	45	22	290	223	4
0	0	0	0	2407	891	0	2407	1516	0
