id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	41	41	59	15	3	18	0	0
1	2	0	0	71	49	7	71	15	0
3	0	89	89	159	41	13	70	16	0
4	3	131	131	247	90	26	116	0	0
6	0	276	276	285	7	2	9	0	0
5	0	257	257	308	35	9	51	7	0
7	2	318	318	366	47	1	48	0	0
8	1	412	412	475	50	13	63	0	0
9	0	476	476	483	5	2	7	0	0
10	0	484	484	501	12	5	17	0	0
13	0	533	543	553	10	0	20	10	10
11	0	525	525	572	15	3	47	29	0
12	0	529	529	577	17	6	48	25	0
15	0	590	590	594	4	0	4	0	0
14	0	562	562	604	15	23	42	4	0
16	0	870	870	908	29	9	38	0	0
17	0	928	928	933	5	0	5	0	0
19	0	1012	1012	1021	9	0	9	0	0
18	0	1011	1011	1025	5	0	14	9	0
21	0	1096	1096	1104	6	2	8	0	0
20	1	1071	1071	1110	33	0	39	6	0
22	0	1146	1146	1219	33	11	73	29	0
24	0	1168	1177	1220	17	1	52	34	9
25	0	1206	1220	1269	30	1	63	32	14
23	0	1157	1157	1294	25	17	137	95	0
26	2	1230	1241	1345	85	15	115	15	11
27	0	1363	1363	1407	15	9	44	20	0
28	1	1379	1379	1413	28	1	34	5	0
29	0	1583	1583	1591	8	0	8	0	0
30	1	1719	1719	1747	27	1	28	0	0
31	0	1776	1776	1806	10	20	30	0	0
33	0	1884	1884	1897	9	0	13	4	0
35	0	1908	1931	1948	3	0	40	37	23
34	0	1890	1897	1952	37	13	62	12	7
32	0	1883	1883	1959	27	26	76	23	0
36	0	1973	1973	1979	6	0	6	0	0
38	0	2018	2018	2056	17	0	38	21	0
37	0	2006	2006	2105	48	15	99	36	0
41	0	2096	2112	2128	16	0	32	16	16
42	0	2112	2132	2141	8	0	29	21	20
40	0	2085	2085	2164	25	1	79	53	0
39	1	2048	2048	2172	26	0	124	98	0
43	1	2132	2132	2185	37	5	53	11	0
44	0	2214	2214	2216	2	0	2	0	0
45	0	2229	2229	2258	16	13	29	0	0
46	0	2266	2266	2316	9	21	50	20	0
47	1	2277	2277	2318	23	11	41	7	0
48	0	2514	2514	2519	5	0	5	0	0
49	0	2528	2528	2529	1	0	1	0	0
50	0	2591	2591	2599	7	1	8	0	0
0	0	0	0	2599	1500	0	2599	1099	0
