id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	5	11	6	0	11	5	5
2	0	326	331	397	25	31	71	15	5
3	0	359	364	409	9	17	50	24	5
4	0	424	429	451	22	0	27	5	5
5	0	459	464	498	15	9	39	15	5
6	0	682	687	758	43	18	76	15	5
8	0	889	907	908	1	0	19	18	18
7	0	884	889	962	24	39	78	15	5
9	0	947	967	981	14	0	34	20	20
10	0	1278	1283	1324	13	18	46	15	5
11	0	1484	1489	1641	78	54	157	25	5
12	0	1679	1684	1719	12	13	40	15	5
13	0	1751	1756	1806	28	12	55	15	5
14	0	1800	1811	1813	2	0	13	11	11
15	0	1867	1872	1940	36	22	73	15	5
16	0	1952	1957	1982	14	1	30	15	5
17	0	2020	2025	2026	1	0	6	5	5
18	0	2111	2116	2338	105	87	227	35	5
20	0	2708	2722	2723	1	0	15	14	14
19	0	2706	2711	2785	32	32	79	15	5
0	0	0	0	2785	1969	0	2785	816	0
