id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	63	49	7	63	7	0
2	0	41	48	66	15	3	25	7	7
3	0	89	89	159	41	13	70	16	0
4	0	131	132	248	90	26	117	1	1
5	0	257	257	302	35	9	45	1	0
6	0	276	291	305	7	2	29	20	15
7	0	318	318	366	47	1	48	0	0
8	0	412	412	475	50	13	63	0	0
9	0	476	476	483	5	2	7	0	0
10	0	484	484	501	12	5	17	0	0
13	0	533	552	562	10	0	29	19	19
11	0	525	525	566	15	3	41	23	0
12	0	529	536	567	17	6	38	15	7
15	0	590	590	594	4	0	4	0	0
14	0	562	567	605	15	23	43	5	5
16	0	870	870	908	29	9	38	0	0
17	0	928	928	933	5	0	5	0	0
18	0	1011	1011	1016	5	0	5	0	0
19	0	1012	1016	1025	9	0	13	4	4
20	0	1071	1071	1104	33	0	33	0	0
21	0	1096	1104	1112	6	2	16	8	8
22	0	1146	1146	1217	33	11	71	27	0
24	0	1168	1185	1220	17	1	52	34	17
23	0	1157	1157	1267	25	17	110	68	0
25	0	1206	1220	1274	30	1	68	37	14
26	0	1230	1242	1345	85	15	115	15	12
27	0	1363	1363	1387	15	9	24	0	0
28	0	1379	1379	1413	28	1	34	5	0
29	0	1583	1583	1591	8	0	8	0	0
30	0	1719	1719	1747	27	1	28	0	0
31	0	1776	1776	1806	10	20	30	0	0
33	0	1884	1888	1897	9	0	13	4	4
35	0	1908	1918	1921	3	0	13	10	10
34	0	1890	1897	1953	37	13	63	13	7
32	0	1883	1883	1960	27	26	77	24	0
36	0	1973	1973	1979	6	0	6	0	0
38	0	2018	2018	2035	17	0	17	0	0
37	0	2006	2006	2091	48	15	85	22	0
39	0	2048	2053	2097	26	0	49	23	5
41	0	2096	2117	2133	16	0	37	21	21
42	0	2112	2133	2141	8	0	29	21	21
40	0	2085	2097	2166	25	1	81	55	12
43	0	2132	2143	2188	37	5	56	14	11
44	0	2214	2214	2216	2	0	2	0	0
45	0	2229	2229	2258	16	13	29	0	0
46	0	2266	2266	2296	9	21	30	0	0
47	0	2277	2277	2318	23	11	41	7	0
48	0	2514	2514	2519	5	0	5	0	0
49	0	2528	2528	2529	1	0	1	0	0
50	0	2591	2591	2599	7	1	8	0	0
0	0	0	0	2599	1500	0	2599	1099	0
