id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	36	36	0	36	0	0
2	0	70	70	74	4	0	4	0	0
4	0	99	109	125	9	7	26	10	10
3	0	98	98	132	16	18	34	0	0
5	0	169	169	202	28	5	33	0	0
6	0	201	202	205	3	0	4	1	1
7	0	327	327	341	10	4	14	0	0
8	0	387	387	400	13	0	13	0	0
9	0	404	404	468	62	2	64	0	0
11	0	466	476	482	6	0	16	10	10
13	0	524	537	541	4	0	17	13	13
12	0	469	482	604	55	21	135	59	13
10	0	465	468	614	79	10	149	60	3
14	0	578	604	625	12	4	47	31	26
15	0	631	631	655	22	2	24	0	0
17	0	692	698	715	17	0	23	6	6
16	0	684	684	739	38	3	55	14	0
18	0	758	758	760	2	0	2	0	0
19	0	799	799	905	75	31	106	0	0
20	0	905	905	923	7	11	18	0	0
22	0	931	947	960	6	2	29	21	16
23	0	970	982	986	4	0	16	12	12
21	0	922	923	1033	74	8	111	29	1
24	0	986	1006	1044	12	6	58	40	20
25	0	1001	1007	1097	44	8	96	44	6
27	0	1070	1097	1116	19	0	46	27	27
26	0	1037	1046	1137	41	6	100	53	9
29	0	1092	1119	1156	22	1	64	41	27
28	0	1080	1116	1167	17	23	87	47	36
31	0	1168	1173	1185	12	0	17	5	5
30	0	1167	1167	1201	22	2	34	10	0
33	0	1366	1367	1375	8	0	9	1	1
32	0	1254	1254	1400	127	15	146	4	0
35	0	1452	1468	1510	22	3	58	33	16
34	0	1448	1448	1521	47	8	73	18	0
37	0	1565	1578	1612	24	10	47	13	13
38	0	1613	1616	1644	21	2	31	8	3
36	0	1558	1558	1669	37	18	111	56	0
39	0	1630	1644	1680	31	0	50	19	14
41	0	1744	1744	1757	13	0	13	0	0
43	0	1771	1790	1804	14	0	33	19	19
42	0	1745	1757	1806	15	1	61	45	12
40	0	1714	1714	1818	46	41	104	17	0
46	0	1968	2003	2013	10	0	45	35	35
45	0	1963	1963	2024	31	0	61	30	0
44	0	1911	1911	2035	57	26	124	41	0
50	0	2061	2102	2113	11	0	52	41	41
48	0	2053	2055	2117	11	7	64	46	2
49	0	2059	2082	2161	38	6	102	58	23
47	0	2035	2035	2166	63	16	131	52	0
0	0	0	0	2166	769	0	2166	1397	0
