id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	1	0	5	61	28	0	61	33	5
2	0	1	6	91	19	42	90	29	5
3	0	72	77	117	11	19	45	15	5
4	2	135	140	198	48	0	63	15	5
7	0	336	341	438	31	36	102	35	5
6	1	256	261	456	64	32	200	104	5
5	2	225	230	544	78	46	319	195	5
8	1	518	523	616	29	39	98	30	5
9	3	1228	1233	1398	89	41	170	40	5
10	0	1727	1732	1784	19	23	57	15	5
11	1	1770	1775	1926	47	60	156	49	5
12	0	1947	1952	2053	36	25	106	45	5
13	0	2239	2244	2246	2	0	7	5	5
15	0	2332	2337	2344	7	0	12	5	5
14	2	2280	2285	2355	43	0	75	32	5
16	0	2419	2424	2431	7	0	12	5	5
18	2	2576	2581	2739	67	12	163	84	5
17	3	2522	2527	2767	102	20	245	123	5
19	0	2986	2991	3010	4	5	24	15	5
20	0	3093	3098	3162	35	19	69	15	5
0	0	0	0	3162	1856	0	3162	1306	0
