id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	1	0	5	31	21	0	31	10	5
2	0	63	68	140	20	14	77	43	5
4	0	123	128	189	23	12	66	31	5
3	0	111	116	220	25	25	109	59	5
5	2	233	238	329	61	10	96	25	5
6	1	535	540	607	32	20	72	20	5
7	0	642	647	681	13	11	39	15	5
8	0	1337	1342	1349	7	0	12	5	5
10	0	1395	1400	1401	1	0	6	5	5
11	0	1423	1428	1429	1	0	6	5	5
9	0	1368	1373	1435	8	33	67	26	5
13	0	1601	1606	1618	12	0	17	5	5
15	0	1686	1717	1718	1	0	32	31	31
16	0	1712	1723	1726	3	0	14	11	11
12	0	1566	1571	1741	48	66	175	61	5
14	0	1659	1664	1825	25	33	166	108	5
17	0	1749	1754	1857	27	46	108	35	5
18	0	1866	1871	1878	7	0	12	5	5
19	0	2043	2048	2049	1	0	6	5	5
20	0	2222	2227	2235	8	0	13	5	5
0	0	0	0	2235	1511	0	2235	724	0
