id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	5	8	3	0	8	5	5
2	0	9	14	205	80	61	196	55	5
3	1	212	217	245	23	0	33	10	5
4	0	275	280	368	27	51	93	15	5
5	1	432	437	488	22	14	56	20	5
7	0	649	654	675	10	1	26	15	5
6	0	567	572	765	56	77	198	65	5
8	0	796	801	852	12	19	56	25	5
9	0	904	909	937	16	2	33	15	5
10	0	1014	1019	1025	6	0	11	5	5
11	0	1381	1386	1483	38	29	102	35	5
12	0	1507	1512	1536	8	6	29	15	5
13	4	1553	1558	1688	95	5	135	35	5
14	0	1702	1707	1740	20	3	38	15	5
15	1	1938	1943	2021	32	21	83	30	5
16	0	2164	2169	2171	2	0	7	5	5
17	0	2949	2954	2983	7	0	34	27	5
18	0	2955	2960	3068	32	66	113	15	5
20	0	3236	3241	3284	27	1	48	20	5
19	2	3103	3108	3290	80	25	187	82	5
0	0	0	0	3290	2179	0	3290	1111	0
