id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	5	11	6	0	11	5	5
3	0	359	364	400	9	17	41	15	5
2	0	326	331	409	20	31	83	32	5
4	1	424	429	456	22	0	32	10	5
5	0	459	464	498	15	9	39	15	5
6	1	682	687	763	43	18	81	20	5
8	0	889	894	895	1	0	6	5	5
7	0	884	889	963	14	39	79	26	5
9	0	947	952	982	14	0	35	21	5
10	0	1278	1283	1324	13	18	46	15	5
11	3	1484	1489	1656	78	54	172	40	5
12	0	1679	1684	1719	12	13	40	15	5
14	0	1800	1805	1807	2	0	7	5	5
13	0	1751	1756	1813	23	12	62	27	5
15	1	1867	1872	1945	36	22	78	20	5
16	0	1952	1957	1982	14	1	30	15	5
17	0	2020	2025	2026	1	0	6	5	5
18	4	2111	2116	2358	105	87	247	55	5
20	0	2708	2713	2714	1	0	6	5	5
19	1	2706	2711	2796	27	32	90	31	5
0	0	0	0	2796	1925	0	2796	871	0
