id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	33	43	134	91	0	101	10	10
12	0	169	219	581	8	117	412	287	50
20	0	359	672	724	8	0	365	357	313
26	0	497	592	786	16	9	289	264	95
29	0	597	739	832	13	12	235	210	142
23	0	438	931	979	7	0	541	534	493
14	0	228	320	1115	37	100	887	750	92
11	0	139	428	1164	11	157	1025	857	289
13	0	209	842	1191	34	74	982	874	633
21	0	369	1233	1240	7	0	871	864	864
28	0	583	862	1272	17	115	689	557	279
22	0	377	1250	1295	8	0	918	910	873
1	0	0	10	1406	19	106	1406	1281	10
16	0	249	301	1418	6	44	1169	1119	52
24	0	449	918	1460	21	62	1011	928	469
25	0	461	887	1486	16	90	1025	919	426
18	0	329	1525	1568	12	0	1239	1227	1196
6	0	82	1592	1669	4	38	1587	1545	1510
4	0	46	56	1683	19	163	1637	1455	10
9	0	134	1607	1695	3	39	1561	1519	1473
10	0	135	1705	1758	8	0	1623	1615	1570
8	0	97	1255	2042	30	421	1945	1494	1158
19	0	330	1523	2057	30	207	1727	1490	1193
17	1	310	339	2085	10	0	1775	1765	29
7	1	96	360	2200	29	137	2104	1938	264
30	1	617	684	2261	51	129	1644	1464	67
2	2	6	16	2350	31	58	2344	2255	10
15	1	236	314	2393	46	107	2157	2004	78
27	2	528	591	2408	28	33	1880	1819	63
5	1	60	179	2501	27	213	2441	2201	119
0	0	0	0	2501	36	0	2501	2465	0
