id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	76	86	250	13	0	174	161	10
1	0	0	10	302	30	80	302	192	10
10	0	213	312	418	13	6	205	186	99
8	0	172	217	581	4	45	409	360	45
26	0	523	724	809	5	5	286	276	201
4	0	118	634	888	2	72	770	696	516
28	0	553	675	912	15	19	359	325	122
30	0	555	621	929	11	154	374	209	66
25	0	510	726	1068	17	8	558	533	216
27	0	552	713	1115	10	216	563	337	161
12	0	274	312	1232	3	16	958	939	38
6	0	131	697	1295	26	166	1164	972	566
18	0	460	1279	1359	4	0	899	895	819
24	0	495	1000	1382	12	172	887	703	505
21	0	475	1242	1471	9	170	996	817	767
20	0	471	1218	1508	12	78	1037	947	747
19	0	461	1279	1546	25	98	1085	962	818
16	0	426	1637	1641	4	0	1215	1211	1211
3	0	78	88	1676	9	37	1598	1552	10
11	0	216	284	1742	26	231	1526	1269	68
9	0	207	1801	2083	17	64	1876	1795	1594
7	0	154	2199	2234	8	0	2080	2072	2045
5	0	129	2077	2347	6	39	2218	2173	1948
23	0	489	1005	2387	75	287	1898	1536	516
29	1	554	645	2685	21	0	2131	2110	91
14	0	388	1253	2737	70	322	2349	1957	865
22	0	482	1054	2858	113	595	2376	1668	572
13	2	302	329	2939	23	23	2637	2591	27
17	1	446	1518	2997	13	85	2551	2453	1072
15	1	407	436	3099	31	220	2692	2441	29
0	0	0	0	3099	102	0	3099	2997	0
